state,population
California,39237836
Texas,29527941
Florida,21781128
New York,19835913
Pennsylvania,12964056
Illinois,12671469
Ohio,11780017
Georgia,10799566
North Carolina,10551162
Michigan,10050811
New Jersey,9267130
Virginia,8642274
Washington,7738692
Arizona,7276316
Massachusetts,6984723
Tennessee,6975218
Indiana,6805985
Maryland,6165129
Missouri,6168187
Wisconsin,5895908
Colorado,5812069
Minnesota,5707390
South Carolina,5190705
Alabama,5039877
Louisiana,4624047
Kentucky,4505836
Oregon,4237256
Oklahoma,3959353
Connecticut,3605944
Utah,3271616
Iowa,3190369
Nevada,3104614
Arkansas,3025891
Mississippi,2961279
Kansas,2937880
New Mexico,2117522
Nebraska,1961504
Idaho,1839106
West Virginia,1793716
Hawaii,1455271
New Hampshire,1377529
Maine,1362359
Rhode Island,1097379
Montana,1084225
Delaware,989948
South Dakota,886667
North Dakota,779094
Alaska,733391
District of Columbia,689545
Vermont,643077
Wyoming,576851
